Unrecognized word count:1241
<fair.a.01: PosScore=0.625 NegScore=0.0>
<eminent.s.01: PosScore=0.375 NegScore=0.125>
<criminal.s.03: PosScore=0.375 NegScore=0.25>
<bygone.s.01: PosScore=0.125 NegScore=0.25>
<improper.s.03: PosScore=0.0 NegScore=0.875>
<nervous.a.03: PosScore=0.0 NegScore=0.0>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<secondhand.s.02: PosScore=0.0 NegScore=0.125>
<criminal.s.03: PosScore=0.375 NegScore=0.25>
<near.s.03: PosScore=0.125 NegScore=0.5>
<away.s.03: PosScore=0.0 NegScore=0.0>
<little.s.03: PosScore=0.0 NegScore=0.125>
<nice.s.03: PosScore=0.75 NegScore=0.0>
<cool.a.03: PosScore=0.0 NegScore=0.0>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<domestic.a.03: PosScore=0.0 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<malefic.s.01: PosScore=0.375 NegScore=0.25>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<secondhand.s.02: PosScore=0.0 NegScore=0.125>
<improper.s.03: PosScore=0.0 NegScore=0.875>
<dry.a.03: PosScore=0.0 NegScore=0.25>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<military.a.03: PosScore=0.0 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<aggressive.s.03: PosScore=0.0 NegScore=0.0>
<bonny.s.01: PosScore=0.75 NegScore=0.0>
<hearty.s.02: PosScore=0.25 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<criminal.s.03: PosScore=0.375 NegScore=0.25>
<male.s.03: PosScore=0.0 NegScore=0.0>
<female.s.03: PosScore=0.0 NegScore=0.0>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<good.a.03: PosScore=1.0 NegScore=0.0>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<knowledgeable.s.02: PosScore=0.5 NegScore=0.0>
<little.s.03: PosScore=0.0 NegScore=0.125>
<crazy.s.03: PosScore=0.25 NegScore=0.5>
<better.s.03: PosScore=0.75 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
