Unrecognized word count:1664
<leading.a.03: PosScore=0.375 NegScore=0.0>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<raised.s.03: PosScore=0.0 NegScore=0.0>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<good.a.03: PosScore=1.0 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<immediate.a.03: PosScore=0.0 NegScore=0.0>
<late.s.03: PosScore=0.0 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<certain.a.04: PosScore=0.0 NegScore=0.0>
<secondhand.s.02: PosScore=0.0 NegScore=0.125>
<black.s.03: PosScore=0.125 NegScore=0.5>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<scripted.a.01: PosScore=0.0 NegScore=0.0>
<scripted.a.01: PosScore=0.0 NegScore=0.0>
<able.s.03: PosScore=0.125 NegScore=0.0>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<sensible.a.02: PosScore=0.125 NegScore=0.0>
<subject.s.03: PosScore=0.0 NegScore=0.625>
<lost.a.03: PosScore=0.0 NegScore=0.625>
<good.a.03: PosScore=1.0 NegScore=0.0>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<armed.a.03: PosScore=0.0 NegScore=0.125>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<good-for-nothing.s.01: PosScore=0.5 NegScore=0.0>
<left.s.03: PosScore=0.0 NegScore=0.0>
<left.s.03: PosScore=0.0 NegScore=0.0>
<good.a.03: PosScore=1.0 NegScore=0.0>
<true.s.10: PosScore=0.25 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<emotional.a.03: PosScore=0.375 NegScore=0.0>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<eminent.s.01: PosScore=0.375 NegScore=0.125>
<old.s.03: PosScore=0.375 NegScore=0.25>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<unsheathed.a.01: PosScore=0.0 NegScore=0.75>
<able.s.03: PosScore=0.125 NegScore=0.0>
<able.s.03: PosScore=0.125 NegScore=0.0>
<criminal.s.03: PosScore=0.375 NegScore=0.25>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<criminal.s.03: PosScore=0.375 NegScore=0.25>
<legal.s.03: PosScore=0.25 NegScore=0.0>
<legal.s.03: PosScore=0.25 NegScore=0.0>
<impeccant.s.01: PosScore=0.625 NegScore=0.125>
<nice.s.03: PosScore=0.75 NegScore=0.0>
<creditworthy.s.01: PosScore=0.125 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<working.s.03: PosScore=0.0 NegScore=0.0>
<subject.s.03: PosScore=0.0 NegScore=0.625>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<bare.s.06: PosScore=0.0 NegScore=0.375>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<great.s.03: PosScore=0.25 NegScore=0.125>
<helpless.s.03: PosScore=0.0 NegScore=0.75>
<available.s.03: PosScore=0.0 NegScore=0.0>
<certain.a.04: PosScore=0.0 NegScore=0.0>
<away.s.03: PosScore=0.0 NegScore=0.0>
<complimentary.s.02: PosScore=0.0 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<able.s.03: PosScore=0.125 NegScore=0.0>
<creditworthy.s.01: PosScore=0.125 NegScore=0.0>
<criminal.s.03: PosScore=0.375 NegScore=0.25>
<bonny.s.01: PosScore=0.75 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<great.s.03: PosScore=0.25 NegScore=0.125>
<secondhand.s.02: PosScore=0.0 NegScore=0.125>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<standing.a.03: PosScore=0.0 NegScore=0.5>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<angry.s.02: PosScore=0.375 NegScore=0.5>
<safe.a.03: PosScore=0.25 NegScore=0.0>
<emotional.a.03: PosScore=0.375 NegScore=0.0>
<impressive.s.02: PosScore=0.375 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<improper.s.03: PosScore=0.0 NegScore=0.875>
<correct.s.03: PosScore=0.625 NegScore=0.0>
<good.a.03: PosScore=1.0 NegScore=0.0>
<able.s.03: PosScore=0.125 NegScore=0.0>
<able.s.03: PosScore=0.125 NegScore=0.0>
<certain.a.04: PosScore=0.0 NegScore=0.0>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<good.a.03: PosScore=1.0 NegScore=0.0>
<certain.a.04: PosScore=0.0 NegScore=0.0>
<able.s.03: PosScore=0.125 NegScore=0.0>
<away.s.03: PosScore=0.0 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<better.s.03: PosScore=0.75 NegScore=0.0>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<bad.s.03: PosScore=0.0 NegScore=0.75>
<alike.a.01: PosScore=0.25 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<away.s.03: PosScore=0.0 NegScore=0.0>
<male.s.03: PosScore=0.0 NegScore=0.0>
<female.s.03: PosScore=0.0 NegScore=0.0>
<vulnerable.s.03: PosScore=0.5 NegScore=0.25>
<away.s.03: PosScore=0.0 NegScore=0.0>
<correct.s.02: PosScore=0.625 NegScore=0.0>
<military.a.03: PosScore=0.0 NegScore=0.0>
<good.a.03: PosScore=1.0 NegScore=0.0>
<martial.s.03: PosScore=0.0 NegScore=0.0>
<bombastic.s.01: PosScore=0.0 NegScore=0.25>
<muscular.s.03: PosScore=0.125 NegScore=0.25>
<mature.a.03: PosScore=0.125 NegScore=0.0>
<fatty.a.01: PosScore=0.125 NegScore=0.0>
<unintelligent.a.01: PosScore=0.0 NegScore=0.375>
<tangible.a.03: PosScore=0.0 NegScore=0.0>
<level.s.03: PosScore=0.25 NegScore=0.0>
<precarious.s.01: PosScore=0.0 NegScore=0.5>
<absolute.s.03: PosScore=0.0 NegScore=0.75>
<extreme.s.03: PosScore=0.25 NegScore=0.0>
<passing.s.03: PosScore=0.0 NegScore=0.0>
<raw.s.12: PosScore=0.125 NegScore=0.125>
<fair.a.01: PosScore=0.625 NegScore=0.0>
<pathetic.s.03: PosScore=0.0 NegScore=0.625>
<good.a.03: PosScore=1.0 NegScore=0.0>
<good.a.03: PosScore=1.0 NegScore=0.0>
<tough.a.03: PosScore=0.375 NegScore=0.25>
